epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4713.17,0.72586,0.47349,0.95646,0.96977,0.98703,0.992,0.82756,0.73164,0.42461,0.92237,0.0009935,0.0009935,0.0009935
63,4777.02,0.7517,0.47538,0.95239,0.95933,0.96923,0.98998,0.82333,0.72352,0.40581,0.93036,0.000977,0.000977,0.000977
64,4827.14,0.72233,0.46216,0.9433,0.96889,0.95815,0.98441,0.81922,0.76832,0.42817,0.93496,0.0009605,0.0009605,0.0009605
65,4887.74,0.7586,0.48752,0.97129,0.98258,0.97436,0.98603,0.83997,0.71576,0.41507,0.92953,0.000944,0.000944,0.000944
66,4945.56,0.73491,0.46709,0.95794,0.96965,0.98462,0.99148,0.83597,0.71584,0.40048,0.92946,0.0009275,0.0009275,0.0009275
67,4996.3,0.70999,0.46422,0.94326,0.96435,0.97107,0.98643,0.8198,0.7293,0.42174,0.93577,0.000911,0.000911,0.000911
68,5051.76,0.71708,0.46507,0.95388,0.97409,0.96384,0.98563,0.83259,0.71853,0.41331,0.92411,0.0008945,0.0008945,0.0008945
69,5105.37,0.75166,0.46155,0.96487,0.97947,0.97873,0.99329,0.83432,0.71536,0.39627,0.92821,0.000878,0.000878,0.000878
70,5161.84,0.7022,0.44611,0.94488,0.97373,0.97949,0.99388,0.84274,0.69123,0.39476,0.92019,0.0008615,0.0008615,0.0008615
71,5212.98,0.71172,0.44211,0.95313,0.98261,0.96923,0.98576,0.83977,0.70802,0.40358,0.92379,0.000845,0.000845,0.000845
72,5263.59,0.69644,0.44398,0.95244,0.97575,0.97436,0.99118,0.83891,0.72735,0.3918,0.93913,0.0008285,0.0008285,0.0008285
73,5321.89,0.74103,0.45955,0.94853,0.96988,0.97436,0.99053,0.83816,0.71219,0.39753,0.93275,0.000812,0.000812,0.000812
74,5376.49,0.70732,0.44234,0.94798,0.95657,0.97436,0.98462,0.83659,0.69284,0.41002,0.92353,0.0007955,0.0007955,0.0007955
75,5428.85,0.69601,0.451,0.94913,0.97365,0.9475,0.98975,0.8339,0.70561,0.4056,0.93005,0.000779,0.000779,0.000779
76,5478.05,0.70616,0.46304,0.94737,0.96426,0.97949,0.98557,0.83826,0.69783,0.38294,0.92413,0.0007625,0.0007625,0.0007625
77,5534.99,0.70992,0.42809,0.95113,0.98934,0.95158,0.98633,0.82458,0.73957,0.40901,0.92962,0.000746,0.000746,0.000746
78,5597.81,0.67677,0.43059,0.93956,0.973,0.98974,0.99184,0.84251,0.71277,0.3856,0.92829,0.0007295,0.0007295,0.0007295
79,5647.55,0.67568,0.42249,0.93172,0.96916,0.96687,0.98737,0.85511,0.67755,0.3793,0.91295,0.000713,0.000713,0.000713
80,5701.69,0.69972,0.43392,0.93834,0.96963,0.98229,0.99005,0.83792,0.70092,0.38046,0.91788,0.0006965,0.0006965,0.0006965
